,product-id,base-url,date,clouds
259,S2A_MSIL1C_20211228T141741_N0301_R010_T20JLL_20211228T174537.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20211228T141741_N0301_R010_T20JLL_20211228T174537.SAFE,2021-12-28,76.6463
260,S2B_MSIL1C_20220102T141729_N0301_R010_T20JLL_20220102T174400.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220102T141729_N0301_R010_T20JLL_20220102T174400.SAFE,2022-01-02,0.1128
261,S2A_MSIL1C_20220107T141741_N0301_R010_T20JLL_20220107T174318.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220107T141741_N0301_R010_T20JLL_20220107T174318.SAFE,2022-01-07,3.915
262,S2B_MSIL1C_20220112T141729_N0301_R010_T20JLL_20220112T174313.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220112T141729_N0301_R010_T20JLL_20220112T174313.SAFE,2022-01-12,2.4121
263,S2A_MSIL1C_20220117T141741_N0301_R010_T20JLL_20220117T174559.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220117T141741_N0301_R010_T20JLL_20220117T174559.SAFE,2022-01-17,33.3862
264,S2B_MSIL1C_20220122T141729_N0301_R010_T20JLL_20220122T172738.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220122T141729_N0301_R010_T20JLL_20220122T172738.SAFE,2022-01-22,35.8426
265,S2B_MSIL1C_20220201T141729_N0400_R010_T20JLL_20220201T171833.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220201T141729_N0400_R010_T20JLL_20220201T171833.SAFE,2022-02-01,0.0125027119853203
266,S2A_MSIL1C_20220206T141741_N0400_R010_T20JLL_20220206T192656.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220206T141741_N0400_R010_T20JLL_20220206T192656.SAFE,2022-02-06,0.308299356162356
267,S2A_MSIL1C_20220216T141741_N0400_R010_T20JLL_20220216T194809.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220216T141741_N0400_R010_T20JLL_20220216T194809.SAFE,2022-02-16,17.7032159394001
268,S2A_MSIL1C_20220226T141741_N0400_R010_T20JLL_20220226T175601.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220226T141741_N0400_R010_T20JLL_20220226T175601.SAFE,2022-02-26,14.6557674057458
269,S2B_MSIL1C_20220303T141729_N0400_R010_T20JLL_20220303T175426.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220303T141729_N0400_R010_T20JLL_20220303T175426.SAFE,2022-03-03,0.9801991029427849
270,S2A_MSIL1C_20220308T141741_N0400_R010_T20JLL_20220308T175958.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220308T141741_N0400_R010_T20JLL_20220308T175958.SAFE,2022-03-08,56.9101036169639
271,S2B_MSIL1C_20220313T141739_N0400_R010_T20JLL_20220313T175322.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220313T141739_N0400_R010_T20JLL_20220313T175322.SAFE,2022-03-13,34.8564284934932
272,S2A_MSIL1C_20220318T141741_N0400_R010_T20JLL_20220318T193227.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220318T141741_N0400_R010_T20JLL_20220318T193227.SAFE,2022-03-18,73.0561056633685
273,S2B_MSIL1C_20220323T141739_N0400_R010_T20JLL_20220323T193902.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220323T141739_N0400_R010_T20JLL_20220323T193902.SAFE,2022-03-23,28.4428150815232
274,S2A_MSIL1C_20220328T141741_N0400_R010_T20JLL_20220328T174148.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220328T141741_N0400_R010_T20JLL_20220328T174148.SAFE,2022-03-28,0.0
275,S2B_MSIL1C_20220402T141729_N0400_R010_T20JLL_20220402T175126.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2B_MSIL1C_20220402T141729_N0400_R010_T20JLL_20220402T175126.SAFE,2022-04-02,0.0
276,S2A_MSIL1C_20220407T141741_N0400_R010_T20JLL_20220407T192249.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220407T141741_N0400_R010_T20JLL_20220407T192249.SAFE,2022-04-07,26.5271494771474
277,S2A_MSIL1C_20220417T141741_N0400_R010_T20JLL_20220417T174100.SAFE,gs://gcp-public-data-sentinel-2/tiles/20/J/LL/S2A_MSIL1C_20220417T141741_N0400_R010_T20JLL_20220417T174100.SAFE,2022-04-17,1.05697644801831
