clouds_on_shape,raster
23.889455987631038,S2A_MSIL1C_20210929T141741_N0301_R010_T20JLL_20210929T174634_cba.TIF
28.78300401155159,S2A_MSIL1C_20200217T141651_N0209_R010_T20JLL_20200217T174153_cba.TIF
0.0,S2A_MSIL1C_20181224T142031_N0207_R010_T20JLL_20181224T173645_cba.TIF
98.82724084513946,S2A_MSIL1C_20180627T142041_N0206_R010_T20JLL_20180627T185637_cba.TIF
0.0,S2A_MSIL1C_20180826T142041_N0206_R010_T20JLL_20180826T181055_cba.TIF
100.0,S2A_MSIL1C_20200328T141731_N0209_R010_T20JLL_20200328T185640_cba.TIF
0.0,S2B_MSIL1C_20220102T141729_N0301_R010_T20JLL_20220102T174400_cba.TIF
100.0,S2B_MSIL1C_20200113T141649_N0208_R010_T20JLL_20200113T173835_cba.TIF
0.0,S2A_MSIL1C_20200507T141741_N0209_R010_T20JLL_20200507T174023_cba.TIF
21.093818383613566,S2B_MSIL1C_20210517T141739_N0300_R010_T20JLL_20210517T174457_cba.TIF
0.0,S2A_MSIL1C_20200118T141651_N0208_R010_T20JLL_20200118T173857_cba.TIF
0.0,S2A_MSIL1C_20180905T142031_N0206_R010_T20JLL_20180905T175440_cba.TIF
33.60806174836255,S2A_MSIL1C_20190930T142041_N0208_R010_T20JLL_20190930T174240_cba.TIF
0.0,S2A_MSIL1C_20170821T142041_N0205_R010_T20JLL_20170821T143004_cba.TIF
40.15037172500476,S2B_MSIL1C_20210815T141739_N0301_R010_T20JLL_20210815T174023_cba.TIF
0.0,S2A_MSIL1C_20180816T142041_N0206_R010_T20JLL_20180816T194745_cba.TIF
0.0,S2B_MSIL1C_20200202T141649_N0208_R010_T20JLL_20200202T173819_cba.TIF
0.0,S2B_MSIL1C_20180821T142029_N0206_R010_T20JLL_20180821T194406_cba.TIF
0.07553661294391266,S2B_MSIL1C_20190118T142039_N0207_R010_T20JLL_20190118T173726_cba.TIF
1.6610225596733763,S2A_MSIL1C_20181005T142031_N0206_R010_T20JLL_20181005T175452_cba.TIF
0.0,S2B_MSIL1C_20180202T142029_N0206_R010_T20JLL_20180202T191444_cba.TIF
0.0,S2A_MSIL1C_20170103T142022_N0204_R010_T20JLL_20170103T142642_cba.TIF
0.0,S2A_MSIL1C_20170212T142031_N0204_R010_T20JLL_20170212T142031_cba.TIF
